M,lambda,trial,S_approx,S_ref,abs_err,rel_err,N_terms
128,2.0,2,0.3533616638308785,0.35336166383155454,6.760147996942578e-13,1.9130960398027506e-12,16384
128,2.0,3,0.3533616638303414,0.35336166383155454,1.2131406990079086e-12,3.433141801104394e-12,16384
128,2.0,4,0.35336166383202555,0.35336166383155454,4.710121181972227e-13,1.3329462882021955e-12,16384
128,3.0,0,0.3529521549123708,0.35295215491236837,2.4424906541753444e-15,6.920174930740317e-15,16384
128,3.0,1,0.3529521549106861,0.35295215491236837,1.6822654380632684e-12,4.766270483547394e-12,16384
128,3.0,2,0.35295215491203935,0.35295215491236837,3.2901459334766514e-13,9.32179018511315e-13,16384
128,3.0,3,0.35295215491191906,0.35295215491236837,4.4930725806580085e-13,1.2729976338502756e-12,16384
128,3.0,4,0.3529521549111575,0.35295215491236837,1.210864741807427e-12,3.4306767219145123e-12,16384
128,4.0,0,0.3523611922924652,0.3523611922944521,1.9869106360204114e-12,5.638846386806527e-12,16384
128,4.0,1,0.3523611922960385,0.3523611922944521,1.5863976798868862e-12,4.50219182639502e-12,16384
128,4.0,2,0.35236119229323326,0.3523611922944521,1.2188583475847281e-12,3.4591163108739396e-12,16384
128,4.0,3,0.35236119229402824,0.3523611922944521,4.2388315080188477e-13,1.2029791023287974e-12,16384
128,4.0,4,0.3523611922951226,0.3523611922944521,6.70463684571132e-13,1.902773912772029e-12,16384
128,6.0,0,0.3508093472630117,0.3508093472626104,4.0129011225076283e-13,1.1438980043777547e-12,16384
128,6.0,1,0.3508093472632365,0.3508093472626104,6.260547635861258e-13,1.784601147236453e-12,16384
128,6.0,2,0.3508093472606151,0.3508093472626104,1.9953483310075626e-12,5.687842546321538e-12,16384
128,6.0,3,0.35080934726497975,0.3508093472626104,2.3693269568525466e-12,6.753887760803891e-12,16384
128,6.0,4,0.35080934726202306,0.3508093472626104,5.873634911779391e-13,1.6743096948846345e-12,16384
128,8.0,0,0.3488603061673977,0.34886030616819025,7.92532706128668e-13,2.271776674261638e-12,16384
128,8.0,1,0.34886030616968355,0.34886030616819025,1.4933054792720668e-12,4.280525622631668e-12,16384
128,8.0,2,0.34886030616882335,0.34886030616819025,6.331046797924955e-13,1.8147799236502052e-12,16384
128,8.0,3,0.3488603061683845,0.34886030616819025,1.9423351815817114e-13,5.567658880185943e-13,16384
128,8.0,4,0.34886030616881775,0.34886030616819025,6.274980535181385e-13,1.7987086590917949e-12,16384
256,2.0,0,0.3535043720136528,0.3535043720061124,7.540412738649138e-12,2.1330465294835895e-11,65536
256,2.0,1,0.3535043720020303,0.3535043720061124,4.082123528093007e-12,1.1547589934821014e-11,65536
256,2.0,2,0.3535043720074673,0.3535043720061124,1.354916179252541e-12,3.832813075446528e-12,65536
256,2.0,3,0.35350437200566154,0.3535043720061124,4.5086157030027607e-13,1.275405924237e-12,65536
256,2.0,4,0.353504372009424,0.3535043720061124,3.311573237851917e-12,9.367842380729189e-12,65536
256,3.0,0,0.3533985374537376,0.3533985374520465,1.6910917111090384e-12,4.785225551021152e-12,65536
256,3.0,1,0.35339853746305167,0.3533985374520465,1.1005141242748095e-11,3.1140879422121006e-11,65536
256,3.0,2,0.35339853745343625,0.3533985374520465,1.3897216710745397e-12,3.932448846829521e-12,65536
256,3.0,3,0.353398537453922,0.3533985374520465,1.875499755499277e-12,5.307038815217983e-12,65536
256,3.0,4,0.3533985374557029,0.3533985374520465,3.656352998149259e-12,1.0346259564374678e-11,65536
256,4.0,0,0.3532434326736767,0.3532434326671643,6.5124017289974745e-12,1.8436016431574083e-11,65536
256,4.0,1,0.3532434326734266,0.3532434326671643,6.262323992700658e-12,1.7728069126202813e-11,65536
256,4.0,2,0.3532434326649619,0.3532434326671643,2.2024049251001543e-12,6.234807844751415e-12,65536
256,4.0,3,0.3532434326734119,0.3532434326671643,6.247613537624375e-12,1.768642516706333e-11,65536
256,4.0,4,0.35324343267415087,0.3532434326671643,6.986577982814879e-12,1.9778366239006134e-11,65536
256,6.0,0,0.35282319090000946,0.35282319090679026,6.780798145200606e-12,1.9218686072684987e-11,65536
256,6.0,1,0.3528231909085745,0.35282319090679026,1.784239422875089e-12,5.057035560189279e-12,65536
256,6.0,2,0.3528231909043771,0.35282319090679026,2.4131807663252403e-12,6.839631941775507e-12,65536
256,6.0,3,0.3528231909078559,0.35282319090679026,1.0656475701864565e-12,3.0203444604863914e-12,65536
256,6.0,4,0.3528231909076112,0.35282319090679026,8.20954415559072e-13,2.3268153475091545e-12,65536
256,8.0,0,0.35226912993846365,0.3522691299322594,6.204259328512762e-12,1.7612270850147524e-11,65536
256,8.0,1,0.3522691299343486,0.3522691299322594,2.0892176877396196e-12,5.930743032014675e-12,65536
256,8.0,2,0.35226912993377796,0.3522691299322594,1.5185630530822891e-12,4.310803655643358e-12,65536
256,8.0,3,0.35226912993566795,0.3522691299322594,3.4085512190529244e-12,9.675986140790655e-12,65536
256,8.0,4,0.35226912993326565,0.3522691299322594,1.0062506383690106e-12,2.856482594891328e-12,65536
384,2.0,0,0.3535314474177616,0.35353144740988135,7.880252006486899e-12,2.2290101953364848e-11,147456
384,2.0,1,0.3535314474178742,0.35353144740988135,7.99282862118389e-12,2.2608536467526952e-11,147456
384,2.0,2,0.35353144741246856,0.35353144740988135,2.5872082254352335e-12,7.31818412305383e-12,147456
384,2.0,3,0.3535314474116186,0.35353144740988135,1.737276988933445e-12,4.9140663487264284e-12,147456
384,2.0,4,0.3535314474135073,0.35353144740988135,3.62593288727453e-12,1.0256323486466691e-11,147456
384,3.0,0,0.35348392117885463,0.3534839211728858,5.968836536140998e-12,1.6885737026838325e-11,147456
384,3.0,1,0.3534839211808865,0.3534839211728858,8.000711204658728e-12,2.2633875900526893e-11,147456
384,3.0,2,0.35348392118445626,0.3534839211728858,1.1570466806887225e-11,3.27326537752992e-11,147456
384,3.0,3,0.3534839211740724,0.3534839211728858,1.1866063687193673e-12,3.3568892321385358e-12,147456
384,3.0,4,0.3534839211708723,0.3534839211728858,2.013500477460184e-12,5.696158599744057e-12,147456
384,4.0,0,0.3534139641415415,0.3534139641444467,2.9051760996878784e-12,8.220320628022723e-12,147456
384,4.0,1,0.353413964143469,0.3534139641444467,9.777179066361441e-13,2.766494835604552e-12,147456
384,4.0,2,0.35341396415751675,0.3534139641444467,1.3070045046248424e-11,3.6982254161599737e-11,147456
384,4.0,3,0.3534139641501264,0.3534139641444467,5.679678949377376e-12,1.6070895679311608e-11,147456
384,4.0,4,0.3534139641592007,0.3534139641444467,1.475397581884863e-11,4.174700865192303e-11,147456
384,6.0,0,0.3532228143333986,0.3532228143416641,8.265499396031828e-12,2.3400242171324772e-11,147456
384,6.0,1,0.35322281436484726,0.3532228143416641,2.3183177599861438e-11,6.563329620446571e-11,147456
384,6.0,2,0.35322281432614355,0.3532228143416641,1.552052930620107e-11,4.393977024142169e-11,147456
384,6.0,3,0.35322281434203234,0.3532228143416641,3.682609772681644e-13,1.0425741552241705e-12,147456
384,6.0,4,0.35322281435294384,0.3532228143416641,1.1279754907889128e-11,3.1933823212728516e-11,147456
384,8.0,0,0.35296770161675445,0.3529677016303444,1.3589962488680385e-11,3.850200011476649e-11,147456
384,8.0,1,0.3529677016405907,0.3529677016303444,1.0246303805416801e-11,2.902901245096793e-11,147456
384,8.0,2,0.35296770162813434,0.3529677016303444,2.210065463970068e-12,6.261381576166486e-12,147456
384,8.0,3,0.3529677016387009,0.3529677016303444,8.35648217289986e-12,2.3674920210267358e-11,147456
384,8.0,4,0.3529677016497036,0.3529677016303444,1.935918092499378e-11,5.4846890623630597e-11,147456
512,2.0,0,0.3535410037542678,0.35354100376722775,1.295996643335684e-11,3.665760490370083e-11,262144
512,2.0,1,0.3535410037769266,0.35354100376722775,9.698852831974136e-12,2.7433459566573738e-11,262144
512,2.0,2,0.35354100377403697,0.35354100376722775,6.80921985463101e-12,1.9260056915814543e-11,262144
512,2.0,3,0.35354100376863196,0.35354100376722775,1.404210081545898e-12,3.971845038009886e-12,262144
512,2.0,4,0.35354100376898107,0.35354100376722775,1.7533197116392785e-12,4.959310781370266e-12,262144
512,3.0,0,0.35351413536552234,0.3535141353642529,1.269429006356404e-12,3.5908861325966874e-12,262144
512,3.0,1,0.3535141353653161,0.3535141353642529,1.0632050795322812e-12,3.007532014064385e-12,262144
512,3.0,2,0.3535141353489457,0.3535141353642529,1.5307199952019346e-11,4.330010718311774e-11,262144
512,3.0,3,0.35351413539813786,0.3535141353642529,3.388495040113071e-11,9.585175530878399e-11,262144
512,3.0,4,0.3535141353376401,0.3535141353642529,2.661282305638224e-11,7.52807890664994e-11,262144
512,4.0,0,0.3534745047427632,0.3534745047734827,3.071948251331946e-11,8.690720857790139e-11,262144
512,4.0,1,0.35347450478692555,0.3534745047734827,1.3442857937917552e-11,3.8030629525974294e-11,262144
512,4.0,2,0.35347450477317455,0.3534745047734827,3.081424004847122e-13,8.717528317415122e-13,262144
512,4.0,3,0.35347450477591197,0.3534745047734827,2.429279000182305e-12,6.872572045157999e-12,262144
512,4.0,4,0.3534745047649617,0.3534745047734827,8.521017225149308e-12,2.4106454949586357e-11,262144
512,6.0,0,0.35336579745423774,0.35336579747609853,2.1860790955230414e-11,6.186447899420449e-11,262144
512,6.0,1,0.3533657974624031,0.35336579747609853,1.3695433676019775e-11,3.8757100358435587e-11,262144
512,6.0,2,0.3533657974613025,0.35336579747609853,1.4796053271481924e-11,4.187177530242643e-11,262144
512,6.0,3,0.353365797483207,0.35336579747609853,7.108480470918721e-12,2.011649265913896e-11,262144
512,6.0,4,0.35336579749203634,0.35336579747609853,1.5937806630006435e-11,4.5102855861664026e-11,262144
512,8.0,0,0.35321992179756745,0.3532199217842859,1.3281542532439516e-11,3.760134044916825e-11,262144
512,8.0,1,0.35321992178830336,0.3532199217842859,4.0174530369085915e-12,1.1373800822486112e-11,262144
512,8.0,2,0.35321992177179234,0.3532199217842859,1.2493561740711812e-11,3.5370490083347353e-11,262144
512,8.0,3,0.35321992175707195,0.3532199217842859,2.721395331306553e-11,7.704535229948128e-11,262144
512,8.0,4,0.3532199218100169,0.3532199217842859,2.5730972907922478e-11,7.284689033943159e-11,262144
768,2.0,0,0.3535478659877365,0.3535478660000394,1.2302880936232441e-11,3.4798345908361585e-11,589824
768,2.0,1,0.35354786596020865,0.3535478660000394,3.9830749809510735e-11,1.1266013357723476e-10,589824
768,2.0,2,0.3535478660150975,0.3535478660000394,1.5058121416444692e-11,4.25914645923588e-11,589824
768,2.0,3,0.35354786604317906,0.3535478660000394,4.313965851210355e-11,1.220192869502393e-10,589824
768,2.0,4,0.35354786598307747,0.3535478660000394,1.696193185907191e-11,4.797633783220182e-11,589824
768,3.0,0,0.3535358653402224,0.35353586529124653,4.8975878907953074e-11,1.3853157123848307e-10,589824
768,3.0,1,0.35353586534215353,0.35353586529124653,5.090700083698607e-11,1.4399387964513404e-10,589824
768,3.0,2,0.35353586523736663,0.35353586529124653,5.3879900541176085e-11,1.5240292663599847e-10,589824
768,3.0,3,0.3535358652774103,0.35353586529124653,1.3836209955542245e-11,3.913665150816829e-11,589824
768,3.0,4,0.3535358653019794,0.35353586529124653,1.0732859045958776e-11,3.0358614499032325e-11,589824
768,4.0,0,0.3535181296208697,0.3535181296230284,2.1587176490811544e-12,6.106384561898106e-12,589824
768,4.0,1,0.35351812966079665,0.3535181296230284,3.776823298551335e-11,1.0683534964893381e-10,589824
768,4.0,2,0.35351812954220097,0.3535181296230284,8.082745583948281e-11,2.2863737123092555e-10,589824
768,4.0,3,0.3535181296300099,0.3535181296230284,6.981470956901603e-12,1.9748551409078356e-11,589824
768,4.0,4,0.3535181296269185,0.3535181296230284,3.890054944832855e-12,1.1003834369063299e-11,589824
768,6.0,0,0.3534693019258946,0.35346930200156607,7.567146909082112e-11,2.1408215271403073e-10,589824
768,6.0,1,0.353469301981885,0.35346930200156607,1.9681090090983844e-11,5.567977184874925e-11,589824
768,6.0,2,0.35346930196702736,0.35346930200156607,3.453870522918123e-11,9.771345073985578e-11,589824
768,6.0,3,0.3534693019997204,0.35346930200156607,1.8456902672880915e-12,5.221642323213443e-12,589824
768,6.0,4,0.35346930202321086,0.35346930200156607,2.164479706578959e-11,6.123529523843542e-11,589824
768,8.0,0,0.3534034489682646,0.3534034489167988,5.146577608527991e-11,1.456289581865298e-10,589824
768,8.0,1,0.35340344886858266,0.3534034489167988,4.821615329220208e-11,1.3643373724842604e-10,589824
768,8.0,2,0.3534034489590225,0.3534034489167988,4.2223669005636566e-11,1.194772409127711e-10,589824
768,8.0,3,0.3534034488211347,0.3534034489167988,9.566408776251478e-11,2.706937016481603e-10,589824
768,8.0,4,0.35340344880663516,0.3534034489167988,1.1016365597527056e-10,3.117220737741193e-10,589824
1024,2.0,0,0.35355027759362134,0.3535502775984273,4.805933428997378e-12,1.3593352158122464e-11,1048576
1024,2.0,1,0.3535502775977716,0.3535502775984273,6.556977183436175e-13,1.85460954181e-12,1048576
1024,2.0,2,0.3535502776522871,0.3535502775984273,5.385980550443037e-11,1.5233987615647103e-10,1048576
1024,2.0,3,0.3535502776260926,0.3535502775984273,2.7665314483726888e-11,7.825001488232449e-11,1048576
1024,2.0,4,0.3535502776238316,0.3535502775984273,2.5404345294077757e-11,7.18549719905262e-11,1048576
1024,3.0,0,0.3535435107463862,0.3535435107109024,3.54837825788934e-11,1.0036609781789771e-10,1048576
1024,3.0,1,0.35354351063285233,0.3535435107109024,7.805006640992929e-11,2.2076509409828185e-10,1048576
1024,3.0,2,0.3535435107400691,0.3535435107109024,2.916672459107872e-11,8.249826034829633e-11,1048576
1024,3.0,3,0.3535435107270932,0.3535435107109024,1.6190826457318508e-11,4.5795852467386905e-11,1048576
1024,3.0,4,0.35354351068705797,0.3535435107109024,2.384442643332818e-11,6.744410719173434e-11,1048576
1024,4.0,0,0.35353350048594784,0.35353350054442584,5.847800021996363e-11,1.654100675888144e-10,1048576
1024,4.0,1,0.35353350047855037,0.35353350054442584,6.587547174419228e-11,1.8633445385726385e-10,1048576
1024,4.0,2,0.35353350062771854,0.35353350054442584,8.329270606566297e-11,2.356006034432265e-10,1048576
1024,4.0,3,0.35353350050399535,0.35353350054442584,4.0430492287413244e-11,1.1436113473023656e-10,1048576
1024,4.0,4,0.3535335006462652,0.35353350054442584,1.0183937027008483e-10,2.8806144287106237e-10,1048576
1024,6.0,0,0.35350589370310637,0.3535058935597639,1.4334244902158844e-10,4.0548814498719206e-10,1048576
1024,6.0,1,0.3535058935571164,0.3535058935597639,2.6474933356723795e-12,7.489248083002024e-12,1048576
1024,6.0,2,0.35350589362197005,0.3535058935597639,6.220612913665491e-11,1.7596914300422634e-10,1048576
1024,6.0,3,0.353505893615655,0.3535058935597639,5.5891069550284556e-11,1.5810505728056717e-10,1048576
1024,6.0,4,0.3535058935555482,0.3535058935597639,4.2157388691066444e-12,1.192551226417935e-11,1048576
1024,8.0,0,0.3534685721856031,0.35346857220716005,2.1556922913390508e-11,6.098681639157576e-11,1048576
1024,8.0,1,0.3534685722090546,0.35346857220716005,1.8945400803715984e-12,5.3598543953753565e-12,1048576
1024,8.0,2,0.35346857212359256,0.35346857220716005,8.35674862642577e-11,2.364212629780298e-10,1048576
1024,8.0,3,0.35346857234153783,0.35346857220716005,1.3437778667579892e-10,3.801689803331174e-10,1048576
1024,8.0,4,0.3534685722206641,0.35346857220716005,1.3504031226574398e-11,3.820433353452421e-11,1048576
2048,2.0,0,0.3535526106477344,0.35355261033427576,3.1345864792697853e-10,8.865968989186947e-10,4194304
2048,2.0,1,0.3535526100517441,0.35355261033427576,2.825316647303566e-10,7.991219877099182e-10,4194304
2048,2.0,2,0.35355261024606943,0.35355261033427576,8.820633112804899e-11,2.494857301284014e-10,4194304
2048,2.0,3,0.353552610595816,0.35355261033427576,2.6154023391455894e-10,7.397491243729716e-10,4194304
2048,2.0,4,0.35355260994302956,0.35355261033427576,3.912462021027352e-10,1.1066138126736529e-09,4194304
2048,3.0,0,0.35355091201066796,0.3535509124797427,4.690747235081005e-10,1.3267529709316674e-09,4194304
2048,3.0,1,0.35355091251951015,0.3535509124797427,3.97674670971071e-11,1.124801710118218e-10,4194304
2048,3.0,2,0.35355091211379686,0.3535509124797427,3.659458291949136e-10,1.0350583643759683e-09,4194304
2048,3.0,3,0.35355091252549964,0.3535509124797427,4.5756953781506127e-11,1.294211163551384e-10,4194304
2048,3.0,4,0.3535509126095112,0.3535509124797427,1.2976852925561388e-10,3.6704340075221613e-10,4194304
2048,4.0,0,0.3535483970258398,0.3535483973868968,3.6105701761712794e-10,1.021237885069563e-09,4194304
2048,4.0,1,0.3535483971916592,0.3535483973868968,1.9523760386164213e-10,5.522231335360538e-10,4194304
2048,4.0,2,0.3535483972442092,0.3535483973868968,1.426875839705133e-10,4.0358713269563126e-10,4194304
2048,4.0,3,0.35354839714333985,0.3535483973868968,2.435569523839831e-10,6.888928197218009e-10,4194304
