M,theta_idx,theta_val,mu_kernel,method,trial,S_approx,S_ref,abs_err,rel_err,N_terms
128,0,0.7853981633974483,clean,sequential,6,-2.3618277624669775e-13,7.196322469544455e-13,9.558150232011433e-13,1.3281992673983782,16384
128,0,0.7853981633974483,clean,kahan,6,2.469862840701703e-13,7.196322469544455e-13,4.726459628842753e-13,0.6567881926978113,16384
128,0,0.7853981633974483,clean,sequential,7,3.182452701784913e-13,7.196322469544455e-13,4.013869767759543e-13,0.5577668016888674,16384
128,0,0.7853981633974483,clean,kahan,7,2.614018513176832e-13,7.196322469544455e-13,4.582303956367623e-13,0.6367563398889342,16384
128,0,0.7853981633974483,clean,sequential,8,1.6129082435289344e-12,7.196322469544455e-13,8.932759965744889e-13,1.2412951203269738,16384
128,0,0.7853981633974483,clean,kahan,8,1.8971253378329755e-12,7.196322469544455e-13,1.17749309087853e-12,1.6362428113273086,16384
128,0,0.7853981633974483,clean,sequential,9,4.137437260971637e-13,7.196322469544455e-13,3.058885208572818e-13,0.4250622761164916,16384
128,0,0.7853981633974483,clean,kahan,9,4.563762902427699e-13,7.196322469544455e-13,2.6325595671167575e-13,0.3658201224664415,16384
128,0,0.7853981633974483,jackson,sequential,0,0.3526673393204562,0.3526673393213845,9.283129820403246e-13,2.6322624142814543e-12,16384
128,0,0.7853981633974483,jackson,kahan,0,0.3526673393204416,0.3526673393213845,9.42967925965377e-13,2.6738169964359904e-12,16384
128,0,0.7853981633974483,jackson,sequential,1,0.3526673393200358,0.3526673393213845,1.3486989303146402e-12,3.824280787979562e-12,16384
128,0,0.7853981633974483,jackson,kahan,1,0.3526673393200463,0.3526673393213845,1.3382628338831637e-12,3.794688888566484e-12,16384
128,0,0.7853981633974483,jackson,sequential,2,0.3526673393215958,0.3526673393213845,2.1127544158616731e-13,5.990785593945593e-13,16384
128,0,0.7853981633974483,jackson,kahan,2,0.352667339321582,0.3526673393213845,1.9750867608081535e-13,5.600424367645408e-13,16384
128,0,0.7853981633974483,jackson,sequential,3,0.3526673393223971,0.3526673393213845,1.012578909609374e-12,2.8712012616700358e-12,16384
128,0,0.7853981633974483,jackson,kahan,3,0.352667339322416,0.3526673393213845,1.031508212179233e-12,2.9248759302863118e-12,16384
128,0,0.7853981633974483,jackson,sequential,4,0.3526673393216322,0.3526673393213845,2.476907567938724e-13,7.023353998997699e-13,16384
128,0,0.7853981633974483,jackson,kahan,4,0.3526673393215996,0.3526673393213845,2.1505019986989282e-13,6.09782012373758e-13,16384
128,0,0.7853981633974483,jackson,sequential,5,0.3526673393200443,0.3526673393213845,1.3402057241762577e-12,3.800198018776365e-12,16384
128,0,0.7853981633974483,jackson,kahan,5,0.3526673393200238,0.3526673393213845,1.3607448501318233e-12,3.8584373952808276e-12,16384
128,0,0.7853981633974483,jackson,sequential,6,0.3526673393203479,0.3526673393213845,1.0366152380925089e-12,2.9393570725522858e-12,16384
128,0,0.7853981633974483,jackson,kahan,6,0.3526673393203715,0.3526673393213845,1.013022998819224e-12,2.8724604914322946e-12,16384
128,0,0.7853981633974483,jackson,sequential,7,0.3526673393209598,0.3526673393213845,4.2471581807035363e-13,1.2042958638801297e-12,16384
128,0,0.7853981633974483,jackson,kahan,7,0.3526673393209435,0.3526673393213845,4.410360965323434e-13,1.2505725576431356e-12,16384
128,0,0.7853981633974483,jackson,sequential,8,0.3526673393224229,0.3526673393213845,1.0383360837806777e-12,2.944236587881039e-12,16384
128,0,0.7853981633974483,jackson,kahan,8,0.3526673393224115,0.3526673393213845,1.0269562977782698e-12,2.9119688252231597e-12,16384
128,0,0.7853981633974483,jackson,sequential,9,0.3526673393210874,0.3526673393213845,2.970956813896919e-13,8.424247109510461e-13,16384
128,0,0.7853981633974483,jackson,kahan,9,0.3526673393210796,0.3526673393213845,3.049782648645305e-13,8.647760392311375e-13,16384
128,0,0.7853981633974483,lorentz,sequential,0,0.3523611922934481,0.3523611922943667,9.185985305748545e-13,2.6069798566450712e-12,16384
128,0,0.7853981633974483,lorentz,kahan,0,0.3523611922934462,0.3523611922943667,9.205414208679483e-13,2.6124937734315453e-12,16384
128,0,0.7853981633974483,lorentz,sequential,1,0.3523611922930877,0.3523611922943667,1.2789769243681805e-12,3.6297326502962563e-12,16384
128,0,0.7853981633974483,lorentz,kahan,1,0.3523611922930791,0.3523611922943667,1.2875811528090253e-12,3.654151424636356e-12,16384
128,0,0.7853981633974483,lorentz,sequential,2,0.3523611922945718,0.3523611922943667,2.051137037994977e-13,5.821120721720774e-13,16384
128,0,0.7853981633974483,lorentz,kahan,2,0.3523611922945757,0.3523611922943667,2.089994843856857e-13,5.931399057450261e-13,16384
128,0,0.7853981633974483,lorentz,sequential,3,0.3523611922954425,0.3523611922943667,1.0757505997105454e-12,3.052976954431039e-12,16384
128,0,0.7853981633974483,lorentz,kahan,3,0.3523611922954237,0.3523611922943667,1.0569878305943805e-12,2.9997282723216586e-12,16384
128,0,0.7853981633974483,lorentz,sequential,4,0.3523611922946176,0.3523611922943667,2.5091040356528543e-13,7.120829678532585e-13,16384
128,0,0.7853981633974483,lorentz,kahan,4,0.3523611922946154,0.3523611922943667,2.486344463648038e-13,7.056238081891029e-13,16384
128,0,0.7853981633974483,lorentz,sequential,5,0.352361192293015,0.3523611922943667,1.3516965324811279e-12,3.8361106785900086e-12,16384
128,0,0.7853981633974483,lorentz,kahan,5,0.3523611922930114,0.3523611922943667,1.3553047573111598e-12,3.846350809764891e-12,16384
128,0,0.7853981633974483,lorentz,sequential,6,0.3523611922933893,0.3523611922943667,9.773848397287566e-13,2.773815224555824e-12,16384
128,0,0.7853981633974483,lorentz,kahan,6,0.3523611922933714,0.3523611922943667,9.953704527276839e-13,2.8248583399506146e-12,16384
128,0,0.7853981633974483,lorentz,sequential,7,0.3523611922939832,0.3523611922943667,3.8347103270552907e-13,1.0882896331704224e-12,16384
128,0,0.7853981633974483,lorentz,kahan,7,0.3523611922939771,0.3523611922943667,3.8963277049219874e-13,1.1057766264075268e-12,16384
128,0,0.7853981633974483,lorentz,sequential,8,0.3523611922954224,0.3523611922943667,1.0557110741160614e-12,2.9961048412905464e-12,16384
128,0,0.7853981633974483,lorentz,kahan,8,0.3523611922954146,0.3523611922943667,1.047884001792454e-12,2.9738916336650357e-12,16384
128,0,0.7853981633974483,lorentz,sequential,9,0.3523611922941155,0.3523611922943667,2.511879593214417e-13,7.128706702513262e-13,16384
128,0,0.7853981633974483,lorentz,kahan,9,0.3523611922940894,0.3523611922943667,2.773337115513641e-13,7.870722361493097e-13,16384
256,0,0.7853981633974483,clean,sequential,0,-1.1522542069282842e-11,-5.699590132866043e-12,5.822951936416799e-12,1.0216439780185953,65536
256,0,0.7853981633974483,clean,kahan,0,-9.902504631749817e-12,-5.699590132866043e-12,4.2029144988837736e-12,0.7374064451842145,65536
256,0,0.7853981633974483,clean,sequential,1,-5.496864786271021e-12,-5.699590132866043e-12,2.027253465950221e-13,0.0355684078800735,65536
256,0,0.7853981633974483,clean,kahan,1,-5.752660171144655e-12,-5.699590132866043e-12,5.307003827861234e-14,0.00931120256746,65536
256,0,0.7853981633974483,clean,sequential,2,3.3862946455753297e-12,-5.699590132866043e-12,9.085884778441371e-12,1.594129501707262,65536
256,0,0.7853981633974483,clean,kahan,2,3.528403192727349e-12,-5.699590132866043e-12,9.227993325593391e-12,1.6190626186225583,65536
