M,max_abs_Gamma,frob_norm
64,44.20689991392746,1322.5913957076841
128,89.45529609810701,5288.526448832416
256,179.96180150242992,21152.266261561665
512,360.979570059027,84607.22541249062
1024,723.0174617531723,338427.06199120666
2048,1447.094416408273,1353706.4082998203
4096,2895.2489098521382,5414823.793532713
