M,mu_kernel,method,trial,abs_err,rel_err,S_approx,S_ref,N_terms
64,clean,sequential_f32,0,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,1,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,2,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,3,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,4,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,5,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,6,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,7,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,8,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
64,clean,sequential_f32,9,3.814696907000478e-06,4689978.882126681,3.814697720372351e-06,8.133718728538701e-13,4096
128,clean,sequential_f32,0,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,1,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,2,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,3,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,4,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,5,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,6,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,7,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,8,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
128,clean,sequential_f32,9,0.00035858154224911775,498284427.5901617,0.00035858154296875,7.196322469544455e-13,16384
256,clean,sequential_f32,0,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,1,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,2,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,3,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,4,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,5,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,6,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,7,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,8,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
256,clean,sequential_f32,9,0.0009613037166370901,168661902.73820582,0.0009613037109375,-5.699590132866043e-12,65536
384,clean,sequential_f32,0,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,1,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,2,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,3,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,4,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,5,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,6,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,7,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,8,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
384,clean,sequential_f32,9,0.004394531271048013,208786041.47135437,0.00439453125,-2.1048012788972517e-11,147456
